person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22,female,Master,71948,0,RENT,35000,PERSONAL,16.02,0.49,3,561,No,1
21,female,High School,12282,0,OWN,1000,EDUCATION,11.14,0.08,2,504,Yes,0
25,female,High School,12438,3,MORTGAGE,5500,MEDICAL,12.87,0.44,3,635,No,1
23,female,Bachelor,79753,0,RENT,35000,MEDICAL,15.23,0.44,2,675,No,1
24,male,Master,66135,1,RENT,35000,MEDICAL,14.27,0.53,4,586,No,1
21,female,High School,12951,0,OWN,2500,VENTURE,7.14,0.19,2,532,No,1
26,female,Bachelor,93471,1,RENT,35000,EDUCATION,12.42,0.37,3,701,No,1
24,female,High School,95550,5,RENT,35000,MEDICAL,11.11,0.37,4,585,No,1
24,female,Associate,100684,3,RENT,35000,PERSONAL,8.9,0.35,2,544,No,1
21,female,High School,12739,0,OWN,1600,VENTURE,14.74,0.13,3,640,No,1
22,female,High School,102985,0,RENT,35000,VENTURE,10.37,0.34,4,621,No,1
21,female,Associate,13113,0,OWN,4500,HOMEIMPROVEMENT,8.63,0.34,2,651,No,1
23,male,Bachelor,114860,3,RENT,35000,VENTURE,7.9,0.3,2,573,No,1
26,male,Master,130713,0,RENT,35000,EDUCATION,18.39,0.27,4,708,No,1
23,female,Associate,138998,0,RENT,35000,EDUCATION,7.9,0.25,4,583,No,0
23,female,Master,600891,5,MORTGAGE,30000,DEBTCONSOLIDATION,10.65,0.05,3,670,Yes,0
23,male,Bachelor,144943,0,RENT,35000,EDUCATION,7.9,0.24,4,663,No,0
23,female,High School,111369,0,RENT,35000,MEDICAL,20,0.31,4,694,No,1
23,male,Bachelor,136628,0,RENT,35000,DEBTCONSOLIDATION,18.25,0.26,4,709,No,1
24,female,Master,14283,1,MORTGAGE,1750,EDUCATION,10.99,0.12,2,679,No,1
25,male,Bachelor,195718,0,RENT,35000,VENTURE,7.49,0.18,4,684,Yes,0
25,male,High School,165792,4,RENT,34800,PERSONAL,16.77,0.21,2,662,No,0
22,female,Master,79255,0,RENT,34000,EDUCATION,17.58,0.43,4,691,No,1
24,female,Bachelor,13866,0,OWN,1500,PERSONAL,7.29,0.11,3,600,Yes,0
22,male,Bachelor,97420,1,RENT,33950,PERSONAL,14.54,0.35,4,691,No,1
24,female,High School,82443,0,RENT,33000,HOMEIMPROVEMENT,12.68,0.4,3,654,No,1
21,female,Associate,14288,0,MORTGAGE,4575,VENTURE,17.74,0.32,3,626,No,1
23,male,High School,14293,0,OWN,1400,PERSONAL,9.32,0.1,3,607,No,0
24,female,Bachelor,79054,1,RENT,32500,HOMEIMPROVEMENT,9.99,0.41,3,700,No,1
21,female,Bachelor,14988,0,OTHER,4000,EDUCATION,12.84,0.27,2,553,No,1
21,male,High School,14858,0,OWN,2000,MEDICAL,11.12,0.13,3,589,No,1
25,male,Bachelor,144855,1,RENT,32000,VENTURE,6.62,0.22,2,586,Yes,0
26,male,Bachelor,114645,2,RENT,31050,HOMEIMPROVEMENT,14.17,0.27,3,681,No,1
25,female,High School,368115,3,RENT,24250,DEBTCONSOLIDATION,13.85,0.07,3,567,Yes,0
26,female,Associate,361076,1,MORTGAGE,7800,MEDICAL,13.49,0.02,4,669,No,0
21,male,Associate,15150,0,OWN,2500,EDUCATION,7.51,0.17,4,600,No,1
22,female,Bachelor,58868,0,RENT,30000,EDUCATION,18.39,0.51,2,606,No,1
24,male,High School,78026,3,RENT,30000,DEBTCONSOLIDATION,14.54,0.38,3,582,No,1
25,male,Bachelor,90785,4,RENT,30000,HOMEIMPROVEMENT,16.89,0.33,4,649,No,1
23,female,High School,86811,0,RENT,30000,DEBTCONSOLIDATION,11.01,0.35,4,602,No,1
26,male,Bachelor,75503,5,RENT,30000,MEDICAL,17.99,0.4,2,616,No,1
24,female,High School,15082,0,OWN,2500,VENTURE,12.69,0.17,3,631,No,1
26,male,Bachelor,361293,5,MORTGAGE,20000,VENTURE,7.88,0.06,4,684,Yes,0
23,male,High School,361547,0,OWN,24250,EDUCATION,19.41,0.07,2,637,Yes,0
26,male,Master,360680,5,OWN,10000,HOMEIMPROVEMENT,10.38,0.03,4,649,No,0
26,male,Bachelor,360977,5,MORTGAGE,25000,EDUCATION,15.33,0.07,3,695,Yes,0
25,female,Bachelor,361244,2,MORTGAGE,18000,HOMEIMPROVEMENT,16.45,0.05,3,620,No,0
26,male,Bachelor,98230,2,RENT,30000,PERSONAL,7.49,0.31,3,622,No,1
22,female,High School,80838,0,RENT,30000,MEDICAL,12.69,0.37,3,645,No,1
26,male,Master,107957,2,RENT,30000,DEBTCONSOLIDATION,6.62,0.28,3,654,No,1
24,female,Bachelor,94649,2,RENT,30000,DEBTCONSOLIDATION,11.01,0.32,4,624,No,1
23,male,High School,94550,1,RENT,30000,DEBTCONSOLIDATION,18.62,0.32,3,570,No,1
23,male,Bachelor,111153,3,RENT,30000,PERSONAL,15.23,0.27,3,648,No,1
23,female,Associate,117250,0,RENT,30000,VENTURE,10.65,0.26,2,652,No,1
25,male,Bachelor,144985,3,RENT,30000,EDUCATION,7.9,0.21,4,559,No,0
26,male,High School,337133,7,RENT,10000,PERSONAL,15.96,0.03,3,623,Yes,0
26,male,Associate,333566,2,RENT,20000,VENTURE,11.48,0.06,3,602,Yes,0
23,male,Bachelor,333399,1,OWN,35000,PERSONAL,11.01,0.1,4,609,No,0
25,male,Master,154793,1,RENT,30000,PERSONAL,7.29,0.19,4,573,Yes,0
24,male,Associate,15229,1,OWN,1750,VENTURE,11.01,0.11,3,631,Yes,0
21,female,Bachelor,158338,0,RENT,30000,VENTURE,5.99,0.19,4,623,Yes,0
22,female,Bachelor,331034,0,OWN,12000,VENTURE,11.58,0.04,2,602,Yes,0
26,female,High School,316466,6,MORTGAGE,10000,EDUCATION,11.01,0.03,4,579,No,1
25,female,Associate,267671,0,MORTGAGE,25000,MEDICAL,15.7,0.09,2,582,No,1
22,male,Master,85191,0,RENT,29100,EDUCATION,15.99,0.34,3,700,No,1
22,male,Associate,15013,0,MORTGAGE,1500,EDUCATION,14.84,0.1,3,688,No,0
26,male,Bachelor,313100,3,OWN,28000,HOMEIMPROVEMENT,10.99,0.09,3,607,Yes,0
25,female,Bachelor,311952,0,MORTGAGE,20000,HOMEIMPROVEMENT,14.42,0.06,2,661,Yes,0
24,male,High School,306897,5,MORTGAGE,9600,EDUCATION,6.99,0.03,2,562,Yes,0
25,female,Bachelor,301136,0,RENT,25000,MEDICAL,13.49,0.08,4,664,Yes,0
25,male,High School,15162,1,OWN,3000,MEDICAL,11.01,0.2,3,564,No,1
22,male,Associate,69042,0,RENT,28000,MEDICAL,11.01,0.41,2,598,No,1
21,female,High School,15307,0,OWN,3000,EDUCATION,13.61,0.2,3,557,No,1
23,female,Associate,79183,0,RENT,28000,EDUCATION,7.9,0.35,2,677,No,1
26,male,Bachelor,102654,4,RENT,28000,VENTURE,7.49,0.27,3,690,No,1
26,male,Associate,15229,1,OWN,6100,EDUCATION,7.51,0.4,3,599,No,1
22,male,High School,106566,0,RENT,28000,VENTURE,9.91,0.26,3,604,No,1
21,female,Bachelor,15252,0,OWN,4200,PERSONAL,13.48,0.28,4,663,No,1
22,male,Bachelor,15432,3,OWN,4750,DEBTCONSOLIDATION,7.14,0.31,2,601,No,1
24,male,High School,100332,1,RENT,28000,VENTURE,15.99,0.28,4,634,No,1
24,male,Bachelor,300951,2,RENT,18000,EDUCATION,12.98,0.06,3,671,No,0
144,male,Bachelor,300616,125,RENT,4800,VENTURE,13.57,0.02,3,789,No,0
25,female,Bachelor,121062,1,RENT,28000,DEBTCONSOLIDATION,12.69,0.23,3,622,No,0
26,male,Associate,133372,1,RENT,28000,EDUCATION,8.9,0.21,2,538,Yes,0
26,male,Bachelor,15505,0,OWN,2700,DEBTCONSOLIDATION,11.01,0.17,4,587,No,1
22,male,Master,130852,0,RENT,28000,EDUCATION,11.01,0.21,4,683,No,1
23,male,Associate,182316,0,RENT,28000,DEBTCONSOLIDATION,11.11,0.15,2,634,Yes,0
24,female,Bachelor,83853,3,RENT,27600,HOMEIMPROVEMENT,11.01,0.33,2,690,No,1
21,female,Bachelor,15394,0,MORTGAGE,3250,DEBTCONSOLIDATION,15.68,0.21,3,518,No,1
22,female,Bachelor,85243,0,RENT,27500,EDUCATION,13.06,0.32,3,583,No,1
22,male,Associate,288907,2,OWN,25000,PERSONAL,11.01,0.09,2,617,Yes,0
26,male,Associate,89074,4,RENT,27050,VENTURE,15.62,0.3,2,668,No,1
24,male,Master,100509,2,RENT,27000,PERSONAL,13.49,0.27,2,673,No,1
24,male,High School,88950,3,RENT,27000,VENTURE,11.01,0.3,3,706,No,1
23,female,High School,75894,1,RENT,26000,MEDICAL,11.71,0.34,2,536,No,1
23,male,Associate,145092,0,RENT,25600,EDUCATION,12.69,0.18,3,557,Yes,0
24,female,Bachelor,15928,1,OWN,1600,MEDICAL,13.57,0.1,3,689,Yes,0
22,male,Bachelor,73131,3,RENT,25475,VENTURE,10.99,0.35,3,681,No,1
25,male,Master,281501,4,MORTGAGE,20000,MEDICAL,14.27,0.07,4,623,Yes,0
24,female,Associate,281775,0,OWN,20000,HOMEIMPROVEMENT,8.88,0.07,4,595,Yes,0
26,male,Bachelor,281792,1,MORTGAGE,21600,HOMEIMPROVEMENT,12.18,0.08,3,584,Yes,0
25,male,Bachelor,266090,4,MORTGAGE,11900,DEBTCONSOLIDATION,14.42,0.04,3,669,No,1
26,male,High School,279664,3,MORTGAGE,25000,MEDICAL,14.17,0.09,2,642,Yes,0
25,female,High School,277017,4,MORTGAGE,35000,MEDICAL,13.99,0.13,4,622,Yes,0
23,male,Associate,100756,0,RENT,25300,EDUCATION,10.99,0.25,3,689,No,1
22,male,High School,16218,1,MORTGAGE,2000,PERSONAL,5.42,0.12,4,614,No,1
25,female,Bachelor,16211,2,OWN,1750,PERSONAL,13.61,0.11,3,597,Yes,0
21,female,Bachelor,51922,3,RENT,25000,EDUCATION,12.73,0.48,3,673,No,1
24,male,Associate,50309,3,RENT,25000,HOMEIMPROVEMENT,11.01,0.5,3,625,No,1
25,male,High School,16378,0,OWN,3000,DEBTCONSOLIDATION,12.87,0.18,4,603,No,1
24,male,Bachelor,16572,0,MORTGAGE,3650,HOMEIMPROVEMENT,9.91,0.22,3,589,No,1
26,male,Master,272201,5,MORTGAGE,20000,HOMEIMPROVEMENT,11.49,0.07,4,670,Yes,0
25,female,Bachelor,271324,3,MORTGAGE,30000,HOMEIMPROVEMENT,19.91,0.11,2,637,Yes,0
26,male,Associate,256862,2,MORTGAGE,35000,EDUCATION,10.65,0.14,2,643,No,1
24,male,High School,271342,0,RENT,6000,MEDICAL,11.01,0.02,4,508,Yes,0
24,male,High School,16470,2,MORTGAGE,4500,DEBTCONSOLIDATION,11.83,0.27,4,643,No,1
23,male,High School,16599,0,OWN,2400,DEBTCONSOLIDATION,13.49,0.14,2,505,No,1
22,male,Bachelor,51608,0,RENT,25000,MEDICAL,14.59,0.48,2,593,No,1
26,female,Master,58516,6,RENT,25000,EDUCATION,9.64,0.43,4,686,No,1
25,female,Associate,16395,4,OWN,3600,MEDICAL,14.59,0.22,3,646,No,1
22,female,Bachelor,16890,0,OWN,4750,EDUCATION,11.01,0.28,3,645,No,1
25,female,Associate,51747,3,RENT,25000,EDUCATION,16.35,0.48,3,697,No,1
21,male,High School,59864,0,RENT,25000,EDUCATION,10.99,0.42,2,648,No,1
25,male,Master,270972,1,MORTGAGE,25000,VENTURE,18.67,0.09,2,640,Yes,0
26,male,Bachelor,270870,5,RENT,3000,EDUCATION,9.32,0.01,4,681,No,0
23,female,Associate,270729,0,RENT,7500,DEBTCONSOLIDATION,8.63,0.03,2,646,No,0
26,male,Bachelor,270877,4,MORTGAGE,25000,VENTURE,10.08,0.09,2,615,Yes,0
22,male,Associate,60501,0,RENT,25000,PERSONAL,11.83,0.41,3,687,No,1
23,male,High School,60754,1,RENT,25000,DEBTCONSOLIDATION,7.9,0.41,3,650,No,1
25,male,Bachelor,60829,0,RENT,25000,HOMEIMPROVEMENT,5.99,0.41,2,588,No,1
24,male,Bachelor,53825,2,RENT,25000,DEBTCONSOLIDATION,15.33,0.46,2,652,No,1
23,male,High School,60801,0,RENT,25000,VENTURE,11.83,0.41,4,658,No,1
22,male,High School,60747,0,RENT,25000,VENTURE,10.36,0.41,2,634,No,1
22,female,High School,61029,0,RENT,25000,VENTURE,12.23,0.41,3,623,No,1
22,female,Associate,63236,0,RENT,25000,EDUCATION,11.11,0.4,4,635,No,1
23,female,Bachelor,17149,0,OWN,4950,DEBTCONSOLIDATION,7.9,0.29,4,531,No,1
24,female,Master,265066,4,MORTGAGE,25000,EDUCATION,11.58,0.09,2,665,Yes,0
23,male,Associate,260205,2,MORTGAGE,21000,DEBTCONSOLIDATION,8.9,0.08,3,703,No,0
25,female,Associate,260035,5,MORTGAGE,25000,EDUCATION,16.07,0.1,3,585,Yes,0
26,female,Bachelor,260444,4,MORTGAGE,20000,EDUCATION,14.22,0.08,2,594,No,0
23,male,Bachelor,258980,0,MORTGAGE,35000,MEDICAL,14.79,0.14,3,618,Yes,0
26,male,High School,259081,2,MORTGAGE,12000,EDUCATION,7.88,0.05,2,626,Yes,0
23,male,High School,63497,0,RENT,25000,PERSONAL,13.22,0.39,2,695,No,1
26,female,Doctorate,56325,2,RENT,25000,DEBTCONSOLIDATION,11.86,0.44,4,690,No,1
22,male,Bachelor,64842,0,RENT,25000,EDUCATION,13.43,0.39,4,574,No,1
26,female,High School,57856,0,RENT,25000,HOMEIMPROVEMENT,15.28,0.43,2,602,No,1
23,male,Associate,57318,0,RENT,25000,VENTURE,17.93,0.44,2,679,No,1
23,female,High School,16916,2,MORTGAGE,1400,EDUCATION,9.25,0.08,4,615,No,0
21,male,Master,16664,0,OWN,4500,VENTURE,12.98,0.27,4,601,No,1
22,male,Associate,252803,0,MORTGAGE,16000,VENTURE,10.62,0.06,4,577,Yes,0
26,female,Associate,253061,3,OWN,22000,PERSONAL,11.83,0.09,4,588,Yes,0
26,male,Bachelor,58602,8,RENT,25000,VENTURE,18.43,0.43,2,595,No,1
22,male,High School,67012,2,RENT,25000,EDUCATION,11.01,0.37,4,653,No,1
24,female,Master,66643,3,RENT,25000,HOMEIMPROVEMENT,11.01,0.38,4,663,No,1
23,male,Bachelor,66599,0,RENT,25000,EDUCATION,11.36,0.38,3,653,No,1
23,male,Associate,67212,2,RENT,25000,EDUCATION,15.65,0.37,3,598,No,1
24,female,High School,66918,1,RENT,25000,PERSONAL,13.22,0.37,4,630,No,1
26,male,Associate,68066,2,RENT,25000,DEBTCONSOLIDATION,12.87,0.37,2,637,No,1
24,male,Associate,245545,1,OWN,20000,MEDICAL,13.04,0.08,3,660,Yes,0
23,male,Associate,229083,0,MORTGAGE,22000,EDUCATION,17.58,0.1,3,639,No,1
23,male,High School,17859,0,OWN,7750,PERSONAL,17.04,0.43,4,626,No,1
24,female,Associate,72608,3,RENT,25000,PERSONAL,10.99,0.34,3,612,No,1
24,male,Bachelor,73073,1,RENT,25000,PERSONAL,11.11,0.34,3,628,No,1
26,female,Master,65880,2,RENT,25000,DEBTCONSOLIDATION,14.83,0.38,2,592,No,1
23,male,High School,17755,1,OWN,4000,DEBTCONSOLIDATION,11.01,0.23,3,580,No,1
24,male,Bachelor,241180,3,RENT,12000,MEDICAL,12.69,0.05,2,634,No,0
24,male,Associate,240894,3,MORTGAGE,12000,HOMEIMPROVEMENT,13.49,0.05,2,678,No,0
21,male,High School,240980,0,MORTGAGE,16000,EDUCATION,14.65,0.07,4,557,Yes,0
25,male,Bachelor,65742,3,RENT,25000,HOMEIMPROVEMENT,16.82,0.38,4,672,No,1
23,male,Bachelor,72713,0,RENT,25000,PERSONAL,12.73,0.34,3,613,No,1
23,male,High School,72627,3,RENT,25000,PERSONAL,10.25,0.34,4,566,No,1
21,male,Associate,72843,0,RENT,25000,EDUCATION,10.99,0.34,4,718,No,1
25,male,High School,75504,4,RENT,25000,MEDICAL,12.73,0.33,2,484,No,1
22,female,High School,68824,0,RENT,25000,HOMEIMPROVEMENT,14.96,0.36,3,634,No,1
23,female,Bachelor,241167,2,MORTGAGE,28000,EDUCATION,11.01,0.12,2,653,Yes,0
21,male,Bachelor,241060,0,MORTGAGE,25000,DEBTCONSOLIDATION,13.99,0.1,2,699,No,0
24,male,High School,240855,0,MORTGAGE,24000,VENTURE,7.49,0.1,4,656,Yes,0
26,male,High School,241030,3,MORTGAGE,15000,EDUCATION,14.79,0.06,3,626,Yes,0
25,male,High School,240895,2,MORTGAGE,15500,DEBTCONSOLIDATION,11.99,0.06,2,659,No,0
24,female,High School,240932,4,RENT,10000,EDUCATION,8.49,0.04,4,604,Yes,0
24,male,Associate,80145,1,RENT,25000,EDUCATION,9.91,0.31,2,636,No,1
22,male,Master,80303,0,RENT,25000,EDUCATION,13.06,0.31,3,554,No,1
22,male,High School,241048,0,MORTGAGE,9000,DEBTCONSOLIDATION,6.17,0.04,4,587,Yes,0
144,male,Associate,241424,121,MORTGAGE,6000,EDUCATION,11.86,0.02,2,807,No,0
25,male,Bachelor,241005,4,RENT,18000,EDUCATION,16.32,0.07,3,708,Yes,0
25,female,Master,240768,2,MORTGAGE,12000,VENTURE,10.38,0.05,2,669,Yes,0
25,male,Associate,241201,2,MORTGAGE,23050,PERSONAL,14.35,0.1,3,578,No,0
24,male,Bachelor,240920,5,MORTGAGE,20000,DEBTCONSOLIDATION,11.01,0.08,3,615,No,0
24,female,Master,72919,1,RENT,25000,DEBTCONSOLIDATION,11.01,0.34,2,553,No,1
21,male,Master,18008,0,OWN,3000,HOMEIMPROVEMENT,11.01,0.17,4,635,No,1
26,female,Associate,81238,3,RENT,25000,PERSONAL,15.21,0.31,2,531,No,1
23,male,High School,80868,1,RENT,25000,EDUCATION,7.9,0.31,4,621,No,1
24,male,Bachelor,81537,1,RENT,25000,VENTURE,10.99,0.31,3,674,No,1
24,female,Associate,82741,0,RENT,25000,PERSONAL,14.09,0.3,3,688,No,1
25,female,High School,83901,3,RENT,25000,PERSONAL,17.49,0.3,2,597,No,1
25,male,Associate,240717,1,MORTGAGE,12000,EDUCATION,11.48,0.05,3,640,No,0
26,female,Associate,226744,0,MORTGAGE,20000,VENTURE,17.74,0.09,2,621,No,1
26,female,Bachelor,241114,5,MORTGAGE,3000,PERSONAL,13.92,0.01,3,608,Yes,0
25,male,Bachelor,85284,3,RENT,25000,EDUCATION,15.21,0.29,3,653,No,1
22,female,Bachelor,18152,0,OWN,4000,MEDICAL,10.99,0.22,3,585,No,1
24,female,High School,84871,3,RENT,25000,EDUCATION,11.86,0.29,4,569,No,1
24,male,Bachelor,18294,2,OWN,6000,PERSONAL,7.49,0.33,3,587,No,1
24,male,Bachelor,68029,1,RENT,25000,MEDICAL,16.49,0.37,4,631,No,1
25,female,High School,80001,4,RENT,25000,VENTURE,15.33,0.31,2,592,No,1
26,female,High School,79875,6,RENT,25000,HOMEIMPROVEMENT,11.58,0.31,4,679,No,1
25,male,High School,18449,1,OWN,5375,EDUCATION,5.79,0.29,2,645,No,1
25,male,Associate,88153,0,RENT,25000,MEDICAL,13.11,0.28,2,669,No,1
23,female,Bachelor,90109,0,RENT,25000,MEDICAL,10.36,0.28,3,653,No,1
25,male,Bachelor,90938,1,RENT,25000,DEBTCONSOLIDATION,10.36,0.27,2,577,No,1
24,male,High School,231335,0,RENT,22000,MEDICAL,11.01,0.1,2,668,Yes,0
21,male,Bachelor,231829,0,MORTGAGE,20000,VENTURE,6.54,0.09,4,629,No,0
25,female,Associate,230516,4,MORTGAGE,10000,MEDICAL,12.53,0.04,4,643,No,0
26,male,Bachelor,229626,0,MORTGAGE,15000,PERSONAL,11.01,0.07,3,626,No,0
22,male,Bachelor,228907,0,MORTGAGE,10000,VENTURE,11.01,0.04,3,560,Yes,0
24,male,Bachelor,90938,0,RENT,25000,EDUCATION,10.25,0.27,4,648,No,1
22,male,Associate,86284,0,RENT,25000,EDUCATION,15.95,0.29,4,648,No,1
26,male,Associate,228774,3,MORTGAGE,20000,VENTURE,12.18,0.09,4,669,Yes,0
23,male,High School,229027,2,OWN,24000,PERSONAL,11.83,0.1,3,536,Yes,0
23,male,High School,94789,1,RENT,25000,DEBTCONSOLIDATION,11.01,0.26,2,548,No,1
23,female,Master,94780,0,RENT,25000,VENTURE,10.62,0.26,3,667,No,1
23,male,High School,95298,0,RENT,25000,VENTURE,10.74,0.26,3,676,No,1
25,male,Associate,223944,1,OWN,10000,VENTURE,10.25,0.04,4,570,Yes,0
24,male,High School,222629,0,MORTGAGE,35000,EDUCATION,12.42,0.16,2,623,No,0
25,female,Bachelor,222973,2,RENT,15000,VENTURE,15.27,0.07,2,652,Yes,0
24,female,High School,75240,1,RENT,25000,MEDICAL,15.33,0.33,2,625,No,1
23,female,High School,96143,1,RENT,25000,VENTURE,15.21,0.26,2,642,No,1
21,male,Bachelor,18064,0,OWN,6250,VENTURE,14.72,0.35,2,580,No,1
24,male,Associate,96627,2,RENT,25000,PERSONAL,15.7,0.26,2,622,No,1
24,male,Bachelor,96309,3,RENT,25000,EDUCATION,13.35,0.26,4,581,No,1
21,female,High School,18421,1,MORTGAGE,1500,MEDICAL,11.01,0.08,4,623,No,0
24,male,Master,96836,1,RENT,25000,EDUCATION,6.62,0.26,2,583,No,1
26,male,Bachelor,96947,4,RENT,25000,DEBTCONSOLIDATION,13.61,0.26,4,645,No,1
22,female,Associate,222975,2,RENT,25000,MEDICAL,11.36,0.11,2,593,Yes,0
26,male,Associate,222985,3,OWN,5000,PERSONAL,7.68,0.02,2,659,Yes,0
24,female,Bachelor,223064,0,RENT,22000,HOMEIMPROVEMENT,14.46,0.1,4,655,Yes,0
23,male,Associate,221559,2,OWN,2500,EDUCATION,11.83,0.01,2,583,Yes,0
24,female,Associate,207712,0,MORTGAGE,20000,DEBTCONSOLIDATION,13.47,0.1,4,582,No,1
24,female,Bachelor,220872,1,MORTGAGE,20000,MEDICAL,11.49,0.09,3,504,Yes,0
22,male,High School,220518,0,MORTGAGE,1000,EDUCATION,11.01,0,2,551,Yes,0
25,female,Associate,220510,1,MORTGAGE,15000,PERSONAL,6.03,0.07,3,529,Yes,0
23,female,Bachelor,89818,0,RENT,25000,DEBTCONSOLIDATION,16.35,0.28,4,674,No,1
26,female,High School,90006,4,RENT,25000,DEBTCONSOLIDATION,11.01,0.28,4,595,No,1
25,female,High School,98704,6,RENT,25000,DEBTCONSOLIDATION,7.29,0.25,3,597,No,1
23,male,High School,98967,5,RENT,25000,MEDICAL,11.36,0.25,3,566,No,1
24,male,High School,99435,3,RENT,25000,VENTURE,10.25,0.25,2,666,No,0
